Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.29,-.04,-.38,-.12,-.01,-.82,-.50,-.27,-.16,-.09,-.03,.05,.65
1881,-.08,-.17,.01,-.34,.11,-.06,-.91,-.45,-.18,.09,.12,-.04,-.07,.57
